0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,label
-2479.23750736,1964.57066115,-1833.00680524,-1738.4389475,-4039.05024448,-656.620834785,-2249.80606314,-875.063565132,-889.973794219,-1416.52912653,-6153.58668911,-417.797997821,3361.27415282,7929.57841704,5369.60068972,-2087.35424001,6949.94866207,5756.41538187,3044.62314035,5195.34242713,-1925.11090188,-5444.106922,613.111136018,-6520.09847227,-1128.31480689,-2808.58167474,-3736.53204478,-420.789703535,overly_attached_girlfriend
-3011.83345606,11149.7403635,-8217.64017924,1646.81031178,-5359.30161467,16293.1508103,-648.720930056,1444.85817413,13365.6808359,-3772.18103693,1753.53810562,-758.992927864,256.520258322,1709.45902652,-5349.37598315,-984.935353598,1580.2012377,-593.096245253,-1411.39502947,-500.617942846,4415.3502594,1451.42119823,-1943.16949738,1007.37653526,-826.088636174,91.3939601827,-1451.19706766,854.761648188,business_cat
-20148.1821524,-15057.1162173,2989.43617348,-3272.97304497,-47.4668197984,2743.15550254,-3370.97035196,1595.99575225,-2379.41428752,-2186.24897497,-3134.88245326,-1329.93689223,-1043.67491569,5534.62196679,1098.77387443,-4467.79075486,3160.4423915,2813.17588964,-3585.84941117,-136.995923802,2368.2835675,2460.44486774,3142.60592865,-175.707585487,-1127.53238125,-4233.57009674,522.810920281,7321.89368087,first_day_on_the_internet_kid
11680.771294,-16776.3699448,4031.3851798,-4200.85550121,-4752.84386862,-69.8810074864,-9599.81274459,-2037.99549955,1408.6019089,15530.4346461,-5284.78578845,-659.236011171,-1342.17395961,-7134.31454403,-1554.82265792,-987.508181787,5575.24253494,-8425.62318553,5864.25454615,5530.06708522,-2676.54476559,7058.2426393,-8035.11005764,44.8716560915,942.636516492,2612.17699992,4565.64594176,-2899.30341097,lazy_college_senior
18486.9618411,-13770.1898339,6780.52058726,-8972.42602842,-6663.37429375,-851.000176945,6742.80417953,-3355.8702988,4310.51070714,3427.14151181,-4008.37569273,1704.29660745,129.03367912,911.875728618,2428.95546297,-672.343311312,6269.65122859,1825.52621758,-1043.99063824,-536.967578868,7885.99793825,318.291927957,4569.43972183,4252.09584125,-8902.94849888,-2146.87271059,-4512.53192872,-380.106965293,sudden_clarity_clarence
-2221.67910729,11572.7663749,31906.3143037,14796.8679645,1394.62182895,-1343.26882699,-2501.45030238,6219.84110785,4491.63653435,-1436.1386602,2426.13645017,-1179.83856469,2356.13602142,-223.923507835,4533.64526188,-646.255291128,-1113.91197361,-1028.06240191,227.213271207,-308.955276397,-1889.37767941,468.326916042,-2669.02688023,-1586.11412475,1272.1667777,1792.23433888,771.635820855,-413.867117693,socially_awkward_penguin
-14259.6916555,-4964.73263533,-134.186266414,-7627.99838751,5216.36924147,-4599.45987968,-1457.59433335,-337.976485764,30.9291092381,1248.82269664,5208.80901087,1569.13850404,-248.677291897,-2815.14625488,-1900.81302852,-1021.37425306,1887.66533273,2739.28350609,-3011.59339727,1506.98274315,4485.03093777,-742.80670536,2922.07650687,-4947.97320227,549.698226034,-1861.56672929,-1392.5173917,-2845.39395239,sheltered_college_freshman
-3057.7967392,12062.5437964,4809.40529267,-8591.36791574,9239.25057994,-7900.38412393,2965.5194787,709.384355393,3745.76888946,-2380.64484671,-4400.91555614,10394.9832615,-86.2554553173,-270.181046909,-6445.40453378,485.595811542,1017.64388962,1192.849368,855.56973394,1344.01814431,-4137.98590094,-207.310674396,1544.02040825,1646.28049906,-2814.94310007,1261.67779541,-1528.65037478,1554.9770646,bad_luck_brian
15824.4496642,642.480436928,-14624.5094091,6719.48287932,-7000.49254718,-16245.0729703,2564.58339391,16294.6660393,451.464183654,-1965.91535591,180.776397115,-5143.75683839,-2080.1257172,-411.517446267,-224.514453931,-1933.36171772,988.297515625,-277.86110106,1052.55769091,284.376478838,-448.141587149,291.346486477,-5692.06520369,2535.14540426,1701.02053853,447.911673536,-245.717132655,1696.61301671,paranoid_parrot
-4216.94169312,7287.01384479,28539.6611991,13304.758364,1648.1804332,-1112.61355893,-1191.65218995,4840.99711252,2452.09572413,-467.780874717,1007.38468177,-2306.74192704,1517.78139776,-1340.7033756,2439.53485598,-2586.31828995,-111.185121846,356.379822954,1088.35927849,-1602.30912996,1521.58006061,557.926036093,-875.289898754,1256.76718191,1.78229666145,-241.915641712,-1412.31000583,-1318.22886183,socially_awkward_penguin
