0,1,2,3,4,5,6,7,8,9,10,11,label,12,13,14,15,16,17,18,19,20,21,22
-14259.6805466,-4964.68206372,-134.073390819,-7629.54061887,5214.07492589,-4597.53192362,-1461.50062232,-322.318315206,43.43387468,1252.05257536,5188.44599811,1545.29474157,sheltered_college_freshman,-306.47583263,-2738.25759704,-1841.88901576,-1146.31152729,1958.0357874,2582.90169322,-2920.24596269,818.542251492,3868.11433374,39.5498236867,2672.95246725
-3057.79401208,12062.5330065,4809.19022067,-8587.81847501,9239.84553193,-7898.18209222,2969.53713294,699.768362766,3754.54896923,-2389.28563992,-4380.64164073,10406.6391324,bad_luck_brian,19.8949526187,-283.950890126,-6416.26344212,566.006542388,1040.43267868,1431.15348816,971.827460832,2685.50965064,-3369.93799675,381.490218086,2116.1104485
15824.4506105,642.469824236,-14624.4377316,6720.30944236,-7001.88154726,-16247.9932089,2564.92469185,16289.0181933,458.867229679,-1973.83898573,198.022200809,-5139.79467192,paranoid_parrot,-2092.54149518,-410.117849794,-235.540499283,-2010.79292869,1149.89897155,-301.465934991,1141.30120949,103.228737256,-535.263709606,816.246779728,-4852.1540147
-4216.94015593,7287.00630384,28539.8495097,13304.5628623,1646.9962172,-1114.19918758,-1190.02096763,4835.30013142,2455.98551433,-471.855710256,1014.31101601,-2319.34495724,socially_awkward_penguin,1501.57413461,-1346.37916468,2442.22977878,-2703.2926849,4.7058921113,338.182094299,1139.27097038,-1937.8335012,881.570501825,927.152630486,-430.133663348
-13719.6352391,-6037.68862482,-52.5111651288,20.7562937922,-2124.69163019,-3208.00577465,-2722.34623039,-368.208454952,546.801365219,3314.0019791,786.189211907,-869.908412103,overly_attached_girlfriend,812.586169123,2221.92156873,3530.14911069,869.737041203,7770.86823453,7169.81243515,-1229.49100292,-2897.63657644,1438.12856705,-3600.37534849,388.680386089
-8442.8284847,-11508.0035013,5142.8729573,-7711.73134585,-6410.07146168,-1086.72879526,-2602.05432873,5956.8147204,-4988.61471832,-3318.95222578,3810.64878974,7671.08640982,minor_mistake_marvin,-2446.03392732,-2401.97914696,-4598.52284563,-2181.30050748,-2846.13635773,-88.7064342915,3690.27114014,2088.80153244,1026.77052802,1128.38590484,389.006529301
-494.445764258,-6671.42205993,-3060.32021805,3232.78687831,-4020.28701394,127.266129789,-5080.745365,2019.86296165,752.343113006,12.8344099452,879.536354317,-237.142197628,evil_toddler,-555.361066916,1853.65003764,-1056.58556609,-754.930976654,-3959.67912218,414.379002834,3651.70898911,3753.19479232,-614.551727827,-1778.06828586,4843.12382852
-4479.53042971,8593.96302108,-7049.51656711,1549.69686607,-5529.90266647,15116.596415,-2380.35492605,1844.9770714,11652.4035045,-2776.44930856,2658.1435025,-397.771609806,business_cat,-1943.89588939,776.448942574,-6692.06789724,-424.2187072,374.930304312,-3046.23861952,-2337.52291379,-1245.72791398,4320.17956078,1953.53563711,-522.939452736
-11335.5208821,1739.72154802,-3348.55715151,-9384.42879694,9291.38069268,-9602.17978911,-7288.77943808,-8296.49543921,4772.49143694,-4036.12070432,9992.8627821,-5205.39450479,sheltered_college_freshman,-3745.442225,-155.644041049,3761.79306814,-2313.33718553,713.053272519,1097.14421309,-1705.14698928,916.697726321,401.78773567,1418.71370352,-1017.73274013
2031.33748265,20805.9820608,-129.237896218,-717.820482386,48.4456097977,-907.337189921,2046.06563027,-6097.79092706,-5441.22355887,3366.26570008,-2834.17878297,-3574.42876045,high_expectations_asian_father,-4410.59384735,6448.65713373,-4164.25359461,3920.58158393,-3107.46946932,665.594637273,1284.19187116,-568.552598053,-1639.85373002,1173.86378371,-1610.45292396
-3793.92620747,11731.1029535,265.315985677,-2820.6764617,-2682.92575105,174.44739675,-2695.54432402,-1240.08060767,-2341.34190875,-4353.51874995,-9374.51511539,-4462.07370667,confession_bear,-308.819654099,-9419.88566767,-133.832822442,6278.46753375,-756.109131338,509.2749959,-1431.95203214,2954.95549359,5968.99172352,-1737.98067889,-751.065130224
-14949.0459564,-1186.88654009,-5245.32909866,-3980.83062486,10797.4296248,4760.37570941,4825.54396301,6970.73545019,-1912.36261047,9340.23837942,1140.8551755,-4572.62666189,college_liberal,4384.99702223,613.598063377,3014.91030995,912.185128274,-3226.99020193,-2641.27239181,-12.5034290148,226.953301364,2062.88574665,-446.862144678,-1007.98970316
-11302.1618756,1560.6023268,-3459.38414472,-9625.64788215,9629.55447613,-9670.05911714,-8010.27528652,-8485.33005156,4295.62170472,-4096.00852533,10590.396024,-5591.21408712,sheltered_college_freshman,-3564.93429379,-883.875879123,3766.935705,-2160.48304058,1343.25020749,1295.39880476,-1508.84291043,1038.53628072,926.091518296,1838.01963344,-954.389505165
-11397.7052663,1544.53485941,-3204.30193517,-9073.00805966,9420.45821316,-9318.66358043,-8565.98133189,-8303.13750273,4445.41691961,-3660.4951163,9709.21341434,-6043.0711952,sheltered_college_freshman,-3921.7660888,-578.823410947,3901.89300374,-2027.75395187,1522.26747173,859.475678342,-1118.10346104,109.461673463,137.842056289,1967.40646398,-936.653339051
