0,1,2,3,4,label
-17745.4020425,-10516.0529231,-738.223809764,1957.26983242,-2263.47677925,minor_mistake_marvin
5212.49853129,18925.6842078,4503.90135935,-217.638056423,-6730.33544283,high_expectations_asian_father
-3626.47821046,7285.87782511,-6924.28434916,367.060632608,-7713.11715796,paranoid_parrot
32853.1507275,-5334.0641133,-2691.97828792,3944.17362503,9604.91809587,bad_joke_eel
31959.5488934,-7329.04853725,-892.060344871,3383.30860065,8715.94429576,bad_joke_eel
6527.15924256,21372.740492,2636.36923284,250.530291766,-6562.9227174,high_expectations_asian_father
-14767.5338267,-1661.63357605,-5291.97475917,-4441.82926043,10935.6643136,college_liberal
-11262.9563916,1582.30720915,-3387.79416076,-9350.20329143,9316.96724055,sheltered_college_freshman
-7313.24889715,506.739875944,74.027673547,-3110.14536722,-3052.27403106,sheltered_college_freshman
24819.4665998,-5791.15716134,-4766.11901213,6274.22082419,14438.1817097,unpopular_opinion_puffin
32121.5914757,-3828.58167418,-1108.70456387,2263.48967369,7619.78820794,bad_joke_eel
-2481.62328257,11630.9513384,-227.508749359,-838.205244475,-3940.08944426,philosoraptor
-19032.2982307,-13850.4622072,1972.42097222,-3063.7147214,1594.67136645,first_day_on_the_internet_kid
-2765.35472745,13209.126567,-6217.558761,-2636.43814169,-3464.37590991,good_guy_greg
-2880.92657242,14342.7355295,3475.91861999,-8193.68768417,12089.1627868,bad_luck_brian
-19165.7183268,-11742.0957416,-8591.01639564,17510.7992672,1923.07697181,advice_god
-11116.2711748,1808.97737751,-2657.88327641,-8830.43725305,8843.72481529,sheltered_college_freshman
-7423.56981242,-98.4711634359,-280.735166227,-4163.83941362,-2960.93141543,sheltered_college_freshman
-18731.9662884,-12357.8736325,-589.215136177,2210.36096101,-2620.59586941,minor_mistake_marvin
141.859782046,15762.3416097,3964.64798681,-2628.33670092,-2299.08145708,high_expectations_asian_father
-15070.8453697,-1706.22727219,-5094.45450652,-4207.87829148,10623.3325507,college_liberal
24311.456543,-5729.16980887,-4285.5824475,5065.66419906,12322.3441575,unpopular_opinion_puffin
-19276.7582931,-14811.0646319,2586.80072213,-4661.64756526,-283.227522414,first_day_on_the_internet_kid
-15109.2766935,-1945.31433183,-5069.08080953,-4090.60878674,10738.1190048,college_liberal
-1751.34339547,12593.825523,-165.262160068,-1472.67708341,-3911.69242886,philosoraptor
-3386.52454414,14720.0822577,3120.53878172,-7777.11246221,10955.7095914,bad_luck_brian
9087.58607446,5815.7086821,-8483.15976794,-3140.20703344,-3683.61705385,business_cat
15619.3970481,1639.59995017,-14207.9422611,7211.5399798,-3846.72602824,paranoid_parrot
-19674.6285292,-12424.1476086,-7007.51086227,17053.41763,714.749768674,advice_god
-14994.1646283,-1294.37497871,-5324.69682576,-3717.80673339,10774.3426856,college_liberal
-7968.17501635,7211.67160979,-1092.91395712,-2773.03498196,2926.03010933,philosoraptor
1004.77616986,-13144.4147786,1450.13369609,-3068.69351712,-5504.90376497,evil_toddler
-511.493291612,11711.1572924,-344.35942766,-1116.51452308,-3210.45355885,philosoraptor
1102.52107333,-12877.3584878,1134.15498594,-2618.95916635,-5681.20587589,evil_toddler
-19416.9689846,-11686.7415886,-8720.27053795,18148.51693,2902.03452825,advice_god
-1649.96084132,12081.3280408,-5069.89133148,-2694.37227542,-5816.7019919,good_guy_greg
-2436.77194028,11067.3126961,243.830622789,-1108.29084119,-3821.53083977,philosoraptor
-19180.8451855,-11031.6289172,-8352.20863055,16884.1225782,2551.94355741,advice_god
-14818.2076506,-1297.37193418,-4699.75819041,-3390.08119805,10488.7149368,college_liberal
19002.1895981,-18427.6846507,9627.44173585,-12912.6295008,-6415.56318633,sudden_clarity_clarence
