a,b,c,d,e,f,g,h,i,label
-7968.30239207,7211.6983283,-1084.16454985,-2890.79531226,2806.7718904,2309.25684615,3415.92203169,816.957183779,-1680.16192644,philosoraptor
1004.84114115,-13144.1142557,1453.78227857,-3152.61056323,-5602.44962538,-679.574406169,-5848.4383568,1061.26486417,1582.68131882,evil_toddler
-511.577978388,11711.8001608,-343.142599493,-1177.23644958,-3196.09208496,4472.31309855,2879.77571722,428.035256689,-5717.243731,philosoraptor
1102.69176793,-12876.9218851,1138.7712279,-2660.0427705,-5776.02024851,-649.099557711,-7982.73824102,991.37241902,2851.71135782,evil_toddler
-19416.9450711,-11686.6934209,-8716.21181912,18099.8240483,2778.5572782,-3823.5979088,8926.60866299,-9467.90592592,944.100578464,advice_god
-1650.15951953,12080.0806152,-5062.05303063,-2709.3866042,-5873.9226977,951.602752888,-4195.15896456,-2905.82176722,1676.7488904,good_guy_greg
-2436.87294383,11068.9246143,250.421531909,-1211.54385292,-3857.1556602,6216.0181291,4096.37948218,1013.23496205,-6426.91396074,philosoraptor
-19180.9306383,-11032.5907793,-8346.25827125,16840.6791939,2412.33300255,-3507.50483487,8123.08201241,-10825.3651986,1687.47007809,advice_god
-14818.1268829,-1297.32137051,-4698.92234705,-3334.29730605,10502.2720837,4239.46011097,3720.50417101,6831.41820296,-1637.79057903,college_liberal
19002.2629708,-18426.9577007,9630.24184089,-12948.8333717,-6460.2561316,-1582.65199246,17496.4410239,-2850.24723013,5764.70138158,sudden_clarity_clarence
17232.2480926,3517.42310102,-7007.15644174,1477.90047302,-3043.43080304,-747.326305719,-6723.9755555,3602.65408189,-45.0839449155,good_guy_greg
18440.431252,-18796.1025293,10130.1402811,-12274.4604206,-5242.0619302,-509.977135597,16207.6056911,-2071.07031138,4519.49481611,sudden_clarity_clarence
2258.59545882,-13387.9290452,1295.96061338,-1869.7120557,-5113.16264057,-1700.21283396,-8411.28967044,1249.27725454,1740.14351963,evil_toddler
-4565.589465,9591.12751274,1641.92906984,-4027.82213865,-2975.60661028,1145.32061509,178.349084133,-460.632890554,-3110.46045994,confession_bear
20384.3572623,-18332.4141117,9969.89751167,-13196.9879203,-5643.01821418,-528.524466075,16972.1981449,-2305.70896089,3519.47962026,sudden_clarity_clarence
-2692.04059445,10849.4056934,-8165.57720043,-57.5229074137,-5218.51867886,17105.4803883,1493.78747318,951.047290422,16395.5405431,business_cat
-50.6557401629,12266.7674709,7067.90621698,-1282.6711202,2295.71191081,4785.06623078,3773.17562763,93.3083838598,2040.04932451,religion_pigeon
-18367.6472072,-11212.0042942,-1025.50917116,1771.17158109,-2591.054767,3613.36485213,-3593.3737284,1926.59199759,-1437.12548584,minor_mistake_marvin
-17527.6064451,-12094.0755167,2472.85317666,-4291.7238868,-178.143689049,863.306931594,-1561.81030588,1529.63387619,-5871.61942905,first_day_on_the_internet_kid
950.274874495,4428.37395305,30420.8533859,13609.0756769,2943.46319771,15.9108816214,-2914.04928111,1206.78559585,4950.60138273,socially_awkward_penguin
30476.3868804,-3878.44089283,-5275.02218409,6237.01561222,9625.84281895,5995.50826386,-5833.66234076,4222.4503213,-2727.70452658,unpopular_opinion_puffin
-4982.04588563,4176.04968489,-4849.65679135,-2007.89227137,-2609.78829319,-8443.05303777,4571.6930583,3182.21075224,-821.220169247,paranoid_parrot
-18428.8497172,-13052.2634776,2945.35737619,-4257.16034914,-1588.5242073,1827.3172724,-4054.5657806,937.240874696,-5116.279952,first_day_on_the_internet_kid
522.039148882,11732.1743878,-5993.41857662,-2832.13529064,-4070.28499361,2157.21822581,-1096.33528276,152.68064335,-1399.05274642,good_guy_greg
11146.5790227,-13914.2739284,4567.14859251,-3833.05627204,-6603.8090295,47.7503722313,-7786.35090156,-3099.64175894,583.559835324,lazy_college_senior
-20048.6229115,-14642.2453765,2391.68938223,-2657.64200601,310.153928219,3487.81079034,-4194.05609387,1320.45867634,-1816.95034578,first_day_on_the_internet_kid
-3106.80152532,10326.233845,-8006.070513,706.899722049,-4568.27566209,16720.5547508,1657.34168834,1340.42247851,14228.9251181,business_cat
-3589.18969075,13601.9512274,4477.71538932,-8934.99053366,9991.71669595,-7142.85289499,4367.94996351,741.895077282,4086.19739967,bad_luck_brian
33761.0570932,-5255.72167096,-1148.57766474,1745.11444638,7445.32591927,-841.872692738,1560.26945251,-5391.6700885,-890.992333283,bad_joke_eel
29085.8616074,-6607.04637067,-4282.53670789,3595.29248281,10971.6343843,9211.78788168,-4432.59923258,5669.67315192,-5036.17736355,unpopular_opinion_puffin
-18963.0765098,-14101.240932,3501.75517198,-5716.3201544,-2718.60973233,2410.87347881,-3255.82957818,1468.1687147,-5892.22091811,first_day_on_the_internet_kid
-3632.48449266,6460.83211549,28845.257992,13013.4632385,3152.67624024,-227.597465091,-20.5842934435,5309.12994629,841.32311729,socially_awkward_penguin
-10186.1422806,2182.53338758,-2760.67981911,-8812.60498447,8081.44589943,-8689.38323331,-7215.85081848,-6902.3539281,2296.18119331,sheltered_college_freshman
1285.04668432,13224.2204263,-10175.3759681,5154.59073548,-8466.40797932,-11863.132625,3935.19617279,3983.14159283,-191.764381448,paranoid_parrot
-18267.2150063,-12534.2207029,2348.93158417,-4517.66576402,-1271.20976007,2625.36568054,-3648.03213306,1332.6713081,-5332.67382329,first_day_on_the_internet_kid
29662.4114244,-3155.16263071,-3917.23612367,4704.40801363,10018.8136313,6308.44064373,-4019.26362681,3559.80377685,-4573.85436425,unpopular_opinion_puffin
4313.70869169,-214.875412819,4508.65499059,-1082.41314951,-10200.9229203,-752.471178476,-1581.98348516,-4176.69839566,713.683812326,lazy_college_senior
-17458.2345751,-10250.3934568,-516.874033467,2024.78889991,-2667.53108762,1786.69974904,-3188.70509148,631.56511079,-1194.77594797,minor_mistake_marvin
15962.0469147,1564.24431236,-14752.3670971,8448.27856394,-5459.03321111,-16422.4434572,3819.47006925,16579.172324,-635.572091646,paranoid_parrot
-3863.01506967,12078.7342213,-528.858462634,-2991.17356942,-2430.3738601,961.356250054,-909.293731284,-1397.84574955,-53.7745480316,confession_bear
-8466.54255052,-398.2085348,21436.4636071,12081.8217424,374.61367727,-2069.69451384,-4777.56059149,111.31825198,2355.22278586,socially_awkward_penguin
-3694.22285634,13532.1915921,2819.43528709,-7783.64784614,11799.3190521,-6784.41704429,2543.12158605,495.493085027,3396.89125346,bad_luck_brian
-3393.58213051,12289.7404354,-348.465716466,-1841.86734993,-3238.95517141,-277.970425027,-3031.10298845,-3874.64126514,2656.37079263,confession_bear
1234.68798828,-13263.1133034,1254.53481024,-1832.17255084,-6206.6831771,-456.089127967,-9310.17514162,1301.25952163,2304.23474483,evil_toddler
-14772.4583363,-1648.46962269,-5155.02190274,-4558.13256935,10905.714876,4556.2057069,4869.00085643,7042.89701908,-1707.57386409,college_liberal
19783.2564481,-11607.1456957,2296.89427402,190.033703999,-2971.18122758,1115.96053375,-4365.40097649,-2414.32327996,5013.86206027,unpopular_opinion_puffin
24892.2137978,-13646.8590469,2047.20094602,0.67438741745,-5493.85714224,-614.394561461,-4383.74488425,-4878.1153721,8421.60703816,sudden_clarity_clarence
