a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s
-17810.7040873,-11982.0666567,2790.69933083,-4257.64461716,-1176.29453652,1471.67752904,-2800.50996797,938.732744657,-5274.05050728,-5929.47688629,-8363.81448127,583.870206088,first_day_on_the_internet_kid,-780.014317535,6729.65076392,-2081.42478704,-4903.91691316,296.705562041,-5918.46676055,-1708.37549984
21497.9645221,-18927.4816064,9438.16869005,-12047.6571767,-6403.00117794,-622.986189007,15188.2324823,-1019.67803028,3453.22416242,-5165.30839037,3339.15822863,-953.832483936,sudden_clarity_clarence,1337.34401526,209.742920495,4533.3590893,1321.4259346,-2130.13430286,-1268.72336721,2125.42414024
-3365.25815599,12064.962095,-490.339904415,-2929.29996509,-2548.26368057,42.3160652993,-1074.4324083,-2510.41117535,137.761082852,-6332.24954018,-7851.97739504,-6793.42882167,confession_bear,272.719500462,-7291.08863474,3369.09294152,6857.68451392,-1915.35760071,-1632.83808229,1473.15448
29434.9769113,-1965.73146683,-5656.08330157,6198.23101529,8636.86375162,6916.619201,-6378.72918766,2745.4747077,266.254189388,-929.084704382,728.501114347,7917.45735088,unpopular_opinion_puffin,-9109.61618344,3631.43074809,8796.15060596,7014.30176981,-2221.10115244,-5701.59893697,3014.69185381
34628.6866538,-6600.23443164,-1664.44691374,7239.68701449,6605.22948711,589.780333495,-4793.55076933,-4523.41886776,-3524.2782562,-4932.89088524,21.2109690937,-3439.56960156,bad_joke_eel,4390.19720671,1091.91901825,-4837.34558574,-308.959855664,-4874.583034,-1180.32078864,-3877.59396746
31755.9996659,-5883.75002754,-2539.31233384,3935.64338509,9870.19548949,1656.38820526,-323.236398353,-3640.28477815,-5651.44555016,-6997.49896583,-2219.42747118,-5766.23213398,bad_joke_eel,7322.63261121,-2970.26007287,-4585.96251864,-1747.39087242,-654.119768742,1979.14749969,1543.69361919
-3592.11178809,15219.9676374,3452.36357117,-9042.02945932,10475.2327734,-7285.54585172,2889.81889607,338.854978376,6643.20371087,1589.9641788,-5492.5764717,8828.91358324,bad_luck_brian,-1240.51186817,1663.17979416,-4075.52512304,2718.8428046,924.466221036,-1008.68017597,2177.67861375
-19285.4851024,-11870.4241436,-7691.72026774,17021.0273693,1466.88692346,-2569.13837317,7897.18049789,-8410.96607442,190.534696213,684.785892154,-326.160263996,2887.96795519,advice_god,-1721.78646468,-3319.49768115,537.743104677,-147.109618876,97.6846593492,-203.563467443,144.974790649
26380.8826202,-15127.9511359,2827.23095144,-1293.72620733,-6179.30890707,-420.967429236,-2993.69020184,-5076.57137151,6800.05879404,5143.4057478,-7538.92086133,-7042.99155751,sudden_clarity_clarence,-8032.91417953,13223.9337126,5258.24520763,9769.34611996,1496.17083175,1716.00904961,-9660.01287208
-3316.68315097,13352.9820795,4270.87094839,-10413.7826933,10712.4800774,-9302.81134266,4812.36122441,-157.235251036,6397.9505952,1795.1515015,-5285.3888608,7719.73272705,bad_luck_brian,737.530276224,236.696689888,-4429.29674904,1393.78240897,2532.38107693,-1386.20192286,3026.19431477
-3625.77507798,15108.2941363,2309.40368016,-7012.59196207,11704.601731,-6820.16845863,2165.97398896,1540.1832828,4292.12017613,-1004.31989308,-5087.28489106,9119.04571844,bad_luck_brian,-1478.94171566,2801.5055694,-4914.03540456,3665.53419502,-2216.04075635,254.412282349,-504.415002334
-18180.4043663,-12709.9370746,3072.02073922,-4520.38511693,-1905.69401649,2458.70593885,-2834.46859867,1326.03280425,-5775.75001811,-7817.06090737,-6650.79378172,570.529568583,first_day_on_the_internet_kid,-2052.10173214,5003.36364632,-1512.48374267,-4313.69882585,506.336776205,-6095.44515421,1090.19150807
