a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t,u
-13719.6514564,-6037.79591636,-52.6519638197,12.6897443466,-2139.87354273,-3196.8232352,-2736.09959456,-354.104130511,583.475196649,3366.06365047,1078.51069016,-1487.48886684,overly_attached_girlfriend,809.03176594,2144.71501964,3632.17877099,1092.56139439,9388.42856367,3806.17854759,-2439.21759016,935.195839812,340.910765712
-8442.82283238,-11507.9270079,5142.69406456,-7712.31789425,-6414.20161843,-1088.89837626,-2601.57686468,5985.17979511,-4968.06542041,-3300.53554597,4189.40824329,7361.1705457,minor_mistake_marvin,-2534.47297747,-2513.26455222,-4685.64311347,-2298.65254191,-2975.59007786,1118.6643316,3788.39320388,-1923.17547269,480.684811392
-494.440440411,-6671.34828415,-3059.88241511,3234.787593,-4019.5774757,123.554484868,-5075.71390335,2018.57706272,756.540786187,-4.9510107707,786.054120479,-129.618348993,evil_toddler,-562.014293698,1813.03877529,-1192.1233607,-799.441922243,-3973.9368501,2705.01882922,3179.18569971,-1963.69445072,-1515.68157708
-4479.53292687,8593.94065966,-7049.51782586,1548.75309319,-5529.82008759,15118.8093058,-2382.49632989,1834.34626164,11659.1814149,-2766.91044528,2699.64848548,-634.10744046,business_cat,-1921.35870451,816.950494831,-6634.19361402,-444.778753931,-42.2247174924,-3455.96011731,-1696.25636046,-1115.23563156,4687.62300346
-11335.5176324,1739.73185024,-3348.46759179,-9383.3543818,9292.77345931,-9605.16606151,-7288.69644234,-8305.4954547,4768.28373457,-4052.22148545,9692.67339573,-5739.74273826,sheltered_college_freshman,-3614.10716729,-116.332377954,3819.01014002,-2221.29707296,924.066027146,878.304349267,-2071.37992152,-1101.4997919,470.276641609
2031.33243645,20805.8486793,-129.327597393,-719.84087433,47.6839914964,-899.755314614,2037.60204276,-6139.63856287,-5446.35618429,3369.94927835,-2846.36911879,-3641.66470048,high_expectations_asian_father,-4327.49353348,6601.27841573,-4060.99177794,4008.14537477,-2389.31481223,2109.34458787,984.539800043,361.969869429,-380.993395761
-3793.92713622,11731.0694596,265.067711037,-2821.8455376,-2683.04202036,175.861899698,-2698.14114014,-1241.24025613,-2337.39170443,-4340.57830306,-9534.31084454,-4083.71512998,confession_bear,-174.988651866,-9437.83458913,-280.875636079,6327.09966611,-929.316105014,710.876745275,-1730.66110241,-4742.32028794,4160.42752189
-14949.0415338,-1186.8751709,-5245.31091863,-3978.31465954,10798.6778778,4756.64310385,4833.54778734,6969.20639785,-1915.44764969,9319.99957715,867.575355089,-4488.92296339,college_liberal,4452.05389783,601.697841871,3044.92983196,878.72137948,-3576.58731491,-1976.55401943,500.387799041,-994.60335788,1915.1140337
-11302.1586294,1560.6285973,-3459.27643058,-9624.94445874,9630.9425648,-9673.02143827,-8011.50150245,-8494.6508585,4288.8377538,-4114.1252183,10248.5998621,-6125.73569054,sheltered_college_freshman,-3448.70344949,-822.050319328,3812.54946864,-2064.02532298,1602.97378285,1033.87582678,-1913.40770601,-1200.07456642,1004.45507752
-11397.7024069,1544.5615271,-3204.19411796,-9071.97072903,9422.18813794,-9320.68735339,-8568.4862209,-8312.23329202,4438.07748589,-3679.78629933,9349.92152012,-6515.24422997,sheltered_college_freshman,-3802.48768712,-520.213089771,3949.59327865,-1903.01691822,1717.69752052,606.755167514,-1364.54061594,-275.666739133,706.556429606
-4203.3009479,6240.02257839,28865.5925627,12770.5904005,1814.99213705,190.623719751,-1506.33159262,5569.07935653,2034.41775364,-57.1950618762,1091.82372547,-1209.52031254,socially_awkward_penguin,570.135929908,-792.392972555,1246.25847176,-3436.15448518,-1231.72141987,1704.39830289,-666.193263582,-220.47141008,846.368928449
15214.9059253,1153.70969978,-12860.9083002,6853.87789378,-8274.42374444,-17526.2098148,1380.24152665,14647.1509531,4954.33089892,669.133618956,1153.77354935,-4680.9066406,paranoid_parrot,-3183.06001453,3246.34223483,-688.61421702,-401.749975612,-1542.95676652,158.933224256,-4698.40021342,-4822.09646193,1375.52565615
32887.8387663,-5448.88169738,-1922.53981031,3570.40677561,7373.85929133,1228.10785139,-2007.35986377,-5253.09624901,-3268.34607496,-1416.31646475,-4369.24701897,-4616.30869569,bad_joke_eel,7002.30255194,-67.6733907373,-5998.4585585,-1366.15972564,670.920177025,1602.8254084,-3754.24166752,2200.10568536,-1307.01384243
-20387.7618365,-15869.1643865,2934.91458383,-2894.29075179,-205.240569951,3212.74891751,-3372.06949332,2319.81848229,-4439.77608267,-6074.44305819,-1229.38338097,-1611.1778413,first_day_on_the_internet_kid,-866.566296819,2384.10570446,2030.63078037,-3849.12072205,4036.27386584,-76.8438350669,-498.905483563,2868.69583034,416.833817245
31210.8367143,-4485.2611188,-2958.51083005,3741.98069211,9125.43222348,1047.96678324,-2031.57019971,-5342.13215839,-2004.33989404,-4325.42933965,-2897.82447838,-6463.45869025,bad_joke_eel,6353.87295094,-661.477198539,-3719.74058557,-1131.82806014,-496.135043232,-1692.19437854,2310.00857399,4020.56946294,-7314.16775488
1365.82005202,14082.4621911,7662.87304275,-6818.002085,4716.63922845,-8815.73599556,3465.61348646,-2678.82567772,-214.862080641,2649.78133344,1019.00780437,5836.66661658,bad_luck_brian,-2158.41362484,-2042.6497591,-6305.55198035,2675.44185615,-327.871892981,-4771.35715109,-359.097874379,5292.82658606,3104.71479397
10583.0616011,24980.023922,-859.326060139,799.160395604,-7644.47854537,939.808022706,1677.98869659,-8562.46325491,-8221.52054616,7989.65884635,1334.14535479,-1755.39121901,high_expectations_asian_father,-4350.92057189,9594.87255109,-2842.96081199,-322.79190054,-2737.48282019,4223.5672376,-604.992928212,-2450.4649017,4157.70960141
-2383.74903897,15444.2849798,2564.29508567,-8017.25417417,12972.9550913,-9045.6335963,3709.02888452,292.116439909,5237.67355604,-906.230394387,-3848.60462022,8740.76881307,bad_luck_brian,1296.69808225,1543.10768674,-6039.27934599,1424.8409747,643.900770898,1210.93107441,1260.55478756,-1802.61601096,-2006.25039926
-14677.4710981,-1700.72061738,-5046.89246914,-4430.87344118,11147.7039202,4441.29334161,4432.83927596,6748.86985478,-1916.31619732,9733.35061571,329.355950027,-4474.04811212,college_liberal,4840.49794773,1170.98651098,2251.53298821,496.775712559,-3851.67315916,-1215.82369065,-1031.64272883,-1089.49736691,1146.86552084
2500.09198999,18629.8524975,2740.99154463,-1674.56128431,-4806.16309016,-312.443670797,4065.46128865,-6303.15201743,-7861.73295442,3240.70638763,-1186.11640921,-946.377700065,high_expectations_asian_father,-5150.67132165,5673.30376581,-4839.73173722,3655.74731046,-2230.42478099,4618.93798157,-1376.84350681,-2008.23073294,497.602728716
-18472.8157035,-14821.3951345,982.558488316,1094.61208087,-146.318570065,3246.06522209,2141.94305377,3466.67458638,-1427.47520072,-968.108076169,2206.35960218,3552.13263733,overly_attached_girlfriend,1440.21686873,-2596.97717271,-6310.89276846,-2244.51978686,1428.47472025,3556.9956804,-2629.09173038,765.318342723,3581.95198016
-19263.293548,-11493.841198,-7407.76188953,16015.7647956,1014.63463495,-2796.74786988,8195.762515,-8628.05743905,2383.93070573,2846.49913128,-629.398033705,2813.44006054,advice_god,-2480.72382466,-1509.4750705,228.788260147,-245.380478135,-3146.80911782,-461.688375368,-1070.56424241,-1817.50082115,-429.837625474
-2778.63488564,11557.1450529,-23.6549816243,-1433.70517223,-3437.14590978,6382.16484982,2709.85088506,950.873439837,-7483.87766031,3103.4381325,1789.9659203,560.860255354,philosoraptor,-2223.76692941,-5656.57346916,-521.794332088,-1506.20476455,7591.43704535,-756.695285031,-6053.53760636,-1208.14418984,-1023.29809625
