0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
-11680.7730631,-16776.3748659,4031.31955168,-4200.80363028,4752.0419244,-71.3206797751,9601.51780975,-2039.08799099,1410.18640457,-15529.4093363,5281.99045133,-649.4183154,-1345.59492867,-7116.05672202,1585.21236353,-1006.37576347,5654.17649918,lazy_college_senior
-18486.9546307,-13770.1884251,6779.78618512,-8973.19265823,6663.23305711,-846.101299623,-6736.92045414,-3347.86043629,4298.95683314,-3414.59730997,4047.63559852,1747.36976507,135.577147436,972.131243204,-2412.31682192,-514.218595729,5589.57444776,sudden_clarity_clarence
2221.67990913,11572.7568793,31906.2106172,14796.5001201,-1394.99921699,-1341.95126542,2501.35170863,6220.35101205,4491.95286831,1435.320929,-2415.50050943,-1175.3457286,2355.8845645,-224.48678,-4549.35252385,-623.333775485,-1194.45229758,socially_awkward_penguin
14259.6871206,-4964.74578073,-134.195346452,-7627.69837564,-5217.96537707,-4601.55688961,1459.18560446,-339.842571361,31.3330306386,-1252.10972588,-5216.99026373,1583.0442132,-239.387090838,-2804.65944327,1929.84938001,-1049.06947092,1943.75479031,sheltered_college_freshman
3057.79855949,12062.5556057,4809.49132268,-8590.85922066,-9238.6817321,-7901.03132594,-2963.96843724,709.193204313,3747.23551163,2386.13053205,4392.4714264,10396.8479594,-82.8802992022,-263.833759267,6457.66110596,509.456537196,1094.44689056,bad_luck_brian
-15824.4490223,642.494885432,-14624.5162783,6719.95353529,7000.79196962,-16246.8514758,-2562.26495735,16294.9718829,454.606630848,1969.93187378,-190.455351271,-5137.78068668,-2071.5541964,-406.196062936,253.018524451,-1945.21307429,1125.07299854,paranoid_parrot
4216.9410457,7287.01728067,28539.7295195,13304.994369,-1648.39197432,-1113.9945006,1191.89550361,4839.45627442,2455.32116283,468.233661507,-1015.03886222,-2308.03856371,1521.69121393,-1336.87664806,-2422.32871252,-2601.04414799,9.65728592854,socially_awkward_penguin
13719.6326533,-6037.57287524,-52.2388953803,19.5729281423,2129.76995944,-3206.1066358,2736.49434715,-378.833655665,579.676972658,-3329.79526032,-773.398932116,-827.170633021,756.668734284,2194.13394676,-3420.20348429,1071.59601506,7913.23190587,overly_attached_girlfriend
8442.82681035,-11507.9420065,5142.74691963,-7711.65065907,6411.80203083,-1087.16306548,2600.22049403,5979.56064504,-4965.51149246,3304.61338232,-3806.76755471,7623.67960179,-2490.12897983,-2461.57156046,4596.46332495,-2215.71960285,-2978.29783568,minor_mistake_marvin
494.444957459,-6671.40617638,-3060.1948741,3232.46243815,4021.54526476,126.737233097,5083.66118554,2023.06595741,758.226311448,-14.9111945938,-887.459811113,-238.352215432,-563.942412247,1821.40366332,1099.18038031,-731.521607608,-3972.60448572,evil_toddler
4479.53266809,8593.94793882,-7049.5407987,1550.03437868,5529.87905257,15114.8836296,2377.96676559,1837.26006286,11647.7486516,2780.32842995,-2661.59419002,-385.338619149,-1912.57643356,716.672757281,6700.20890899,-472.200817637,323.236748677,business_cat
11335.5203668,1739.70720501,-3348.55441867,-9383.67762519,-9291.79824808,-9602.57306439,7289.33751642,-8303.31523103,4772.78911512,4040.5083131,-10000.8682843,-5203.48575686,-3698.88546068,-165.430690622,-3744.84401779,-2233.74885832,777.922655648,sheltered_college_freshman
-2031.34275751,20805.9794462,-129.036115851,-716.72147777,-49.2327268086,-904.146960906,-2032.04337608,-6140.61575379,-5449.86132252,-3360.68938394,2830.70418977,-3506.16077331,-4305.75625306,6450.17383066,4263.54596642,4038.32560377,-2886.29716685,high_expectations_asian_father
3793.92906285,11731.0998633,265.22288029,-2819.87631753,2682.17823764,173.5184254,2695.08740428,-1241.55161248,-2339.83027814,4351.72920052,9369.24158259,-4443.67994513,-223.868574508,-9479.29807259,207.115399704,6328.70047267,-901.09199749,confession_bear
14949.0442031,-1186.90634118,-5245.3714764,-3979.95985061,-10796.6389695,4759.40905996,-4831.31275115,6972.5496711,-1907.09088317,-9337.15229088,-1154.51965938,-4574.83686315,4418.26723746,598.241906273,-3013.75596941,880.700800532,-3272.91345888,college_liberal
11302.1621209,1560.59415086,-3459.34197271,-9625.64301203,-9629.81888241,-9670.31521191,8011.61065953,-8492.17291683,4293.02867562,4099.32357538,-10591.7270727,-5587.34399851,-3538.17496099,-870.773126392,-3766.79186646,-2080.13457162,1467.46533378,sheltered_college_freshman
11397.7048892,1544.53229714,-3204.26116519,-9072.93335268,-9421.25433211,-9318.02360595,8568.94796354,-8310.78605542,4441.2828704,3663.71484018,-9710.93324268,-6032.11261903,-3886.07304475,-556.835458917,-3896.88455819,-1926.6930763,1622.54553558,sheltered_college_freshman
4203.3007608,6239.99209475,28865.4626707,12770.5430112,-1815.00841242,190.205592752,1503.59034354,5566.06209436,2030.07549661,62.1222956346,-1139.68938344,-1138.3542916,540.522043673,-770.713770792,-1197.63386849,-3457.42731198,-1354.80164949,socially_awkward_penguin
-15214.9065934,1153.66694368,-12861.2413092,6852.14174823,8277.18281376,-17527.0817288,-1375.22220108,14655.6711603,4945.13910812,-678.694844695,-1430.47083998,-4647.69818365,-3240.17611802,3166.67648076,696.295906668,-417.96700939,-1496.36946039,paranoid_parrot
-32887.8372963,-5448.94667622,-1922.7315152,3567.16267192,-7375.42183233,1231.8715707,2005.87509449,-5261.05494017,-3261.80498264,1401.43886458,4043.81030701,-5059.31453611,6976.8830344,66.7349403806,5967.95127299,-1355.60070146,821.177991452,bad_joke_eel
20387.7638352,-15869.2339504,2934.49884329,-2898.09548672,207.446161937,3216.47512559,3377.27384269,2320.10345282,-4443.75342781,6049.14349355,1013.75968639,-1933.09143911,-876.024459992,2480.72390107,-2104.48120454,-3825.27414553,4164.32456494,first_day_on_the_internet_kid
-31210.8389087,-4485.28735436,-2958.72254457,3741.89777414,-9125.8439531,1048.90127405,2037.37221069,-5346.52933583,-2010.95125799,4317.11066443,2578.94028128,-6632.84821196,6245.74919202,-714.506953605,3692.05992435,-1078.48606883,-543.83623603,bad_joke_eel
